userName,score,at,content
Ari Aya,5,2026-05-04 10:56:31,OK
Tegar Pri,5,2026-05-04 10:38:04,mantapp sekalii
Jaji Plasback,3,2026-05-04 10:00:20,maaf pak saya mau tanya kenapa STNK saya belum juga di kirim padahal saya bayar dari tanggal 20 April dan sekarang udah masuk 5 mei 2026 udah 2minggu lebih apakah tetep di kirim soalnya dari aplikasi nya di proses Mulu kena gak secepat pas pertama saya bayar di aplikasi cuma 3hari doank inimah saya nunggu kelamaan bikin saya kecewa aja
Ardi,5,2026-05-04 09:42:18,Sangat recommended
Yusuf Euy84,5,2026-05-04 09:38:46,mantap pokoe josss pelayanan cepat hanya dri rumah mantaaap
Hafidz Reiza,4,2026-05-04 09:31:41,lambat
Yunedi JS,5,2026-05-04 09:19:05,cukup baik
Alif Abiansyah,1,2026-05-04 08:41:13,kenapa opsi pembayaran buat payar pajak cuma 1? itupun ga bisa
Muhammad Muhlisin,1,2026-05-04 07:53:03,"Mau bayar pajak yang ke dua kalinya susah banget buat masuk aplikasinya, bertele tele chatt CS malah di suruh datang ke samsatnya, ga nanya kalo gitu mah udah tau"
Inung Darajati,5,2026-05-04 07:25:19,pelayanan cepat
kocheng olen,1,2026-05-04 06:42:56,aplikasi sampah buang buang anggaran giliran di pake eror mulu
aidil nabila,5,2026-05-04 06:29:29,pembayaran sangat efektif dan cepat...
jambul jams,5,2026-05-04 06:28:04,good
Mukmin Anakampun,5,2026-05-04 06:23:58,bagus sangat membantu tanpa pergi ke samsat
Iszriyah Siswanto,1,2026-05-04 06:17:31,"Sejak aplikasi di Update mau bayar pajak kendaraan onlene jadi gak bisa,,, keterangan layanan tidak tersedia,,, tolonglah segera di perbaiki agar kami dapat membayar pajak tepat waktu tanpa harus ngantri yg memakan waktu bagi sebagian orang yg punya kesibukan lain."
Pais,5,2026-05-04 05:31:37,sangat memuaskan dan membantu
Adara Ifra,3,2026-05-04 05:23:49,"pendaftaran kendaraan gagal terus, data kendaraan sdh sesuai dgn ktp ttp aja gagal, mohon solusinya."
Ita Nahar Puspita,4,2026-05-04 04:06:33,Alhamdulillah... Mantap ga perlu keluar rumah bt ambil stnk nya.. membantu bgt buat pekerja yg weekend nya bt keluarga aja..
Fathina Azhary,1,2026-05-04 04:02:37,"Kenapa setiap masukkan kode bayar selalu gagal, jadi tidak bisa bayar pajak Sudah dicoba di hari kerja juga masih tetap sama saja. Mohon dibantu untuk perbaikannya."
Shared Video,2,2026-05-04 03:48:31,gagal mendaftarkan data kendaraan padahal data yg saya input semua benar.. tolonglah di permudah biar bayar pajak bisa simpel dan mudah pak pol..terima kasih
Yus Up,5,2026-05-04 03:39:56,saya mau melakukan pajak tahunan kenapa gak bisa
ღOni Himeღ,1,2026-05-04 03:16:19,Kebanyakan Error
Mohamad Arifin,4,2026-05-04 03:03:03,"Mohon bantuannya, taun sebelumnya bisa mengakses pembayaran pajak secara online tapi untuk tahun ini gak bisa terus kanapa ya"
Gilang Permana,5,2026-05-04 02:42:54,Mudah dan cepat
Ahmad Muhazir,1,2026-05-04 02:23:17,"sudah ditunggu beberapa bulan dari tgl 28 februari sampai sekarang belum juga diproses pembuatan stnk, tolong dong segera dikirimkan stnknya"
Rokayeh Rokayeh,4,2026-05-04 02:12:03,"Cukup praktis dan mudah, tahun ini saya menggunakan lagi aplikasi ini. dan pengiriman STNK 10 hari kerja, cukup cepat. semoga selalu ditingkatkan lgi"
riza wahyudi,3,2026-05-04 02:07:03,"saya mau balik nama dan cabut berkas kendaraan bekas yang saya beli , tidak bisa ya tanpa KTP pemilik asal"
Didit,1,2026-05-04 02:06:13,"ini knp ya kok saya daftar pas setelah selfie selalu gagal,sinyal bagus foto jelas. sudah di coba berkali kali ttp gagal, mohon segera di perbaiki saya mau byr pajak."
Egi Hilman,5,2026-05-04 01:19:47,"mantap, pelayanan super cepat dan fleksibel banget. ga harus datang ke kantor tapi dokumen dapat diterima dalam hitungan hari. mantap pertahankan"
Niki Setiawan,1,2026-05-04 01:06:19,"fitur chat g bisa digunain, prosesnya lama, hey anda dibayar oleh uang rakyat lho"
Suryadi Altamirano,5,2026-05-04 00:49:25,"Aplikasi lancar, Pengiriman 4 hari sampai. Maju terus Samsat Jawa Barat."
Erwin Erwin,5,2026-05-04 00:28:00,dokumen sampai dengan aman dan cepat
Indra Kurniawan,5,2026-05-03 16:30:43,"tolong perbaiki lagi sistemnya udah 3 minggu masa ga jadi2 STNK saya, saya kasih bintang 5 biar semakin semangat memperbaiki diri"
Satrio Pangestu,5,2026-05-03 15:09:31,"mantab aplikasi sudah bagus ngga eror"" lagi,bayar pajak jadi ngga keluar rumah 5 hari nyampek"
Cheriliana Aura Putri,3,2026-05-03 14:25:35,duh gimana mau verifikasi? foto KTP aja keluar tiba tiba terus
Teger Lelo,5,2026-05-03 14:12:52,cepet tanpa repot
Fajar Maulana,5,2026-05-03 13:49:15,bagus. mengurangi percaloan
Rachman Syah,5,2026-05-03 12:21:36,mantap lah... proses cepat walaupun tgl merah/hari Minggu...
Syachril Listanto,5,2026-05-03 12:02:39,lebih efisien menggunakan aplikasi ini permudah terus layanan nya supaya masyarakat bisa membayar pajak lebih mudah dan praktis tanpa harus antri
Muhammad Said.,5,2026-05-03 11:18:25,"proses bayar pajak mudah,5 hari stnk sudah di terima.mantap. tingkat kan terus kualitas pelayanan nya."
ade setiawan,5,2026-05-03 11:14:00,"sangat membantu untuk urusan pajak kendaraan, terima kasih"
ticko bassman,5,2026-05-03 10:27:38,"sangat mempermudah proses pembayaran pkb, pengiriman via pos juga cepat."
suhendra hendra,5,2026-05-03 09:54:26,"sangat membantu sekali, perpanjang pajak kendaraan hanya 3 hari kerja langsung selesai dan diantar kerumah"
Yen Zhu,5,2026-05-03 09:19:28,sangat recomend buat yg gak bisa datang ke samsat langsung
Muhammad Suyoko,1,2026-05-03 09:13:49,"Sebelum aplikasi di-update aman dan lancar dalam perpanjangan STNK, setelah di-update tidak bisa mengecek apalagi membayar pajak. Adanya update aplikasi itu seharusnya mempermudah, ini malah sebaliknya bahkan gak bisa digunakan. Aneh"
Zusni Fahmi,5,2026-05-03 08:05:18,nunggu pembayaran menggunakan Qris kok ga bisa?
elvan dwi asmanu,5,2026-05-03 07:56:33,aplikasinya sangat membantu untuk perpanjangan STNK tahunan tanpa ribet dan antri
Dipa Hima,5,2026-05-03 07:12:53,Terimakasih sudah memberikan kemudahan dengan adanya aplikasi ini
Andromeda Fotokopi,4,2026-05-03 06:59:01,"Sempat tidak bisa (tagihannya tidak keluar), sudah melakukan pengaduan, tetap aja tidak bisa... Setelah melakukan pengaduan via aplikasi Samsat Huma Betang, baru bisa... walaupun harus kena denda karena terlambat bayar"
Ade Rusmana,5,2026-05-03 06:03:04,sangat membantu
J'Se S2M,5,2026-05-03 05:25:24,Sangat Membantu
Taopik Maulana Yusup,1,2026-05-03 04:57:04,"Untuk sekarang kenapa ya mau bayar pajak layanan tidak tersedia terus padahal tahun"" kemarin bisa"
Andy Lou,1,2026-05-03 04:34:51,habis waktu download. dan daftar. tidak berfungsi sama sekali.produk konoha gak ada guna.
Setyo Wibowo,1,2026-05-03 04:20:29,mau tambahkan alamat pengiriman nggak bisa nyimpan.
Rio Judan Funi,5,2026-05-03 03:50:13,bagus dan tidak ribet
Teguh Mulyono,5,2026-05-03 02:35:52,sangat membantu dan mempermudah proses pembayaran pajak kendaraan.
Ahmad Juan Jumadil,5,2026-05-03 02:33:07,ok mantap
Farzha Alfinatu Jamroh,1,2026-05-03 02:11:55,"apl yang sangat menyengsarakan rakyat, saya keliru memasukan nik saya dan tidak bisa diubah sama sekali tolong developer ubah lagi sistem apl nya, pdhl sya niat baik mau bayar pajak malah dipersulit seperti ini, di offline dipeesulit di online pun sangat dipersulit"
budi setiawan,5,2026-05-03 01:38:26,"alhamdulillah lancar ,"
Jamalludin,2,2026-05-03 00:52:55,Mau bayar pajak. Tp di aplikasinya layanan bayar pajak tidak tersedia..
Nanda Pito,5,2026-05-03 00:10:07,proses stnk dan pembayaran cepat cuma pengiriman lama .. kalau bisa banyak motode pengiriman stnk saya gagal di kirim karna alamat tidak di temukan besok di kirim lagi katanya
ABOUT COROLLA,5,2026-05-02 13:48:29,mantap
Eko Setiawan,5,2026-05-02 13:42:02,Sangat membantu sekali
septiawan purnama,5,2026-05-02 13:14:15,terimakasih
Mento Minto,1,2026-05-02 12:28:29,Gagal terus tiap mau pembayaran
Tedy Noviandi,5,2026-05-02 11:44:16,mantap dan sangat mudah untuk membayar pajak jadi lebih cepat tanpa harus antri 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍🙏🙏🙏
Rifki Badru,4,2026-05-02 11:19:26,lamaaaa sampe nya
Udin Samsudin,3,2026-05-02 10:40:10,"pajak tahunan bisa di signal, tp hari sabtu nya sekarang libur, kan kita pajak yg 5 tahun ke samsat, kita libur bisa nya hari sabtu, ya sudah karena sabtu libur jd males pajak"
Rhesa Beni Tower,5,2026-05-02 10:26:43,untuk saya cukup membantu..solusi ketika kendaraan sdh tdk d kota asal belinya.
Dumeri -,5,2026-05-02 10:17:15,good Alhamdulillah sudah terdigitalisasi
Titi Alpinah,5,2026-05-02 09:55:08,sangat amanah
Syafrizal Rizal,1,2026-05-02 08:50:02,"kode bayar tapi gak bisa buat bayar, coba di perbaiki sistem nya h"
Taufik Hidayat,5,2026-05-02 08:28:49,"sangat membantu,dan tidak perlu antri,tinggal tunggu di rumah akan diantarkan ke rumah kita"
Habib Imron,1,2026-05-02 07:25:15,aplikasi cacat
James Prawira Wijaya the first,4,2026-05-02 07:01:34,"lumayan gampang proses, cuma lama kali datangnya, 3 Minggu, dan itu saya harus komplain dulu sama admin signal nya baru 2 hari kemudian datang"
Fhardlan Athasaury,5,2026-05-02 06:55:02,"pengalaman ke dua perpanjangan STNK tahunan tanpa ribet, tinggal klik tidak isi data kembali karena diperpanjangan sebelumnya sudah terisi... lancar... signal samsat excellent 👍👍 👍"
raja hemat,4,2026-05-02 06:34:47,bagus
Muhammad wisnu,1,2026-05-02 05:53:21,"Aplikasi buruk di konfirmasi data untuk foto KTP sekali pencet untuk memotret, langsung keluar aplikasi"
Qa-imun Sdj,5,2026-05-02 05:43:01,"The first experience, so far so good."
Ajo Iyasa (HeenY),1,2026-05-02 05:36:10,"brengsek aplikasi signal ini,, sy bayar pajak mobil plat lampung barat prov Lampung utk th pajak mei 2026 di minta apk dia senilai 3,2 jt,, semtara dicek samsat liwa cuma 2,9 jt,, smpe dibuat nya ulasan ini selisih bayar 300k belum dikembalikan,,"
nuril afiqah,5,2026-05-02 04:52:50,ternyata mudah ya bayar pajak online dan cepat pengiriman 2 hari sampai...terima kasih signal samsat
an. sm,1,2026-05-02 04:51:38,susah menambahkan data kendaraan baru
meyswan pondansyah,5,2026-05-02 03:52:30,sangat membantu sekali bagi yg sibuk kerja dan tidak ada waktu untuk ke samsat
Game Montoon,5,2026-05-02 03:41:28,sangat memuaskan dan memermudah pembayaran pajak
Kudrat Muslihin,5,2026-05-02 03:41:15,"terima kasih atas kemudahan membayar pajak,Sangat cepat dan mudah saran untuk LACAK mungkin bisa lebih di update setiap dokumen yang sudah di kirim harapan ada Tambahan diadakan bayar pajak tahunan untuk kendaraan bukan satu KK untuk menigkatkan pendapatan pajak dan taat pajak."
Heri Imansyah,5,2026-05-02 03:22:49,pembayaran online keren mudah tanpa harus antri pembayaran sebelum tgl dikirim 2 hari pemgesahan stnk digital cepat
Rusti Yani,3,2026-05-02 03:22:21,"aplikasinya lemot, padahal internet kenceng tapi ketika mau masukin alamat aja gak bisa susahnya minta ampun."
gersom pehe,1,2026-05-02 02:17:47,fitur tidak berfungsi
Nike Hutagaol,1,2026-05-02 02:08:46,"kenapa saat mendaftarkan kendaraan malah muncul keterangan data dukcapil dengan data regiden ranmor berbeda. sementara kalo saya cek pajak dengan data yang sama malah keluar kok hasil nya dan berapa yg harus dibayar, sementara untuk bayar kan harus daftar kendaraan dulu ini gimana sih solusinya. soalnya saya ga bisa ke samsat karena ngerantau di kuar kota"
JM TPB,5,2026-05-02 00:38:22,mantap
Anggi Cahyani,5,2026-05-02 00:23:24,saya kira pengiriman bakal lebih dri seminggu ternyata cuma nunggu 2 hari udh nyampe stnknya best laah👍🏻
Ray Idzes,5,2026-05-01 22:32:10,cepat dan akurat
JEJAK KAKI,5,2026-05-01 20:24:37,good
Saipul Ramadan,5,2026-05-01 15:19:54,proses pembayaran pakai aplikasi Tokopedia lebih mudah. pengiriman dokumen 7 hari kerja. overall good signal.
Ahmad Akmal,1,2026-05-01 14:58:54,"saya melakukan pembayaran sejak tanggal 13 februari 2026. sampe hari ini tanggal 1 Mei 2026 sttusnya masih proses samsat setempat, apa selama itu pengiriman Pajak kendaraan yang sudah dibayar ? sudah skitar 2 bulan sttusnya msih proses, ada 2 permohonan lagi"
Maridah,5,2026-05-01 14:08:25,Suka
Cita Kurnia Putri,5,2026-05-01 13:09:06,Mudah dan Cepat. Terimakasih
Mohamad Syahroni,3,2026-05-01 12:52:57,"kenapa setiap saya mau cek pajak kendaraan selalu gagal, tidak ada layanan?"
abdul rouf,5,2026-05-01 12:32:01,di update malah tidak bisa buat bayar pajak kendaraan dengan alasan layanan tidak tersedia dan hubungi CS tapi mau hubungi cs tidak bisa
hasanudin,5,2026-05-01 12:30:38,Sangat membantu bagi yang tidak ada waktu untuk pergi ke samsat
Kusnandar,2,2026-05-01 11:28:10,kenapa saya daftar berhasil tapi verifikasi email gagal akun di hapus
Dhu Wiie,1,2026-05-01 11:07:07,gagal terus nambahin kendaraan pdahal motor punya sndri ... tpi gagal trs alasan dta gk sama anehhh
Ahmad Padillah,5,2026-05-01 10:58:45,"proses mudah dan cepat, karena di proses di kantor Samsat dekat rumah. trimakasih 👍"
Yuda Permana,5,2026-05-01 10:51:43,pelayanan sangat baik
Abdul Rohim,5,2026-05-01 10:08:37,"bagus ni semua nya harus nya serba online,, bisa membantu lebih cepat"
Tris Sutrisno,5,2026-05-01 08:54:51,fast respon
Ika Yuni,2,2026-05-01 08:45:39,semenjak update aplikasi tidak berfungsi eror terus
Cecep Supriyadi,5,2026-05-01 08:33:43,"cepat, tepat, presisi"
MIE JEBEW JEBRET SULTAN PURI LESTARI,5,2026-05-01 07:43:39,Mantaap....oke banget
Rawa Resnaeni,5,2026-05-01 06:59:47,bgus tp aku blom daptar
Habibi Elsharawi,5,2026-05-01 06:52:41,top
SC Family,1,2026-05-01 05:17:15,Ngurus Pajak Motor Langsung Ke Kantor nya cuma 30 menit ... Kalau Pakai Aplikasi ini 10 hari .... Hapus Aja Aplikasi Kalian Ini ...
Tedi Haris,5,2026-05-01 05:00:31,Alhamdulillah untuk saat ini bagus
Azka Fatin Azzahra,5,2026-05-01 04:45:14,"Cepet koo datang Stnk nya, kata org lamaaa:)"
Hari Yanto,5,2026-05-01 03:56:04,Pembayaran lebih gampang tidak lagi harus ke ke kantornya untuk bayar pajak. terimakasih.
Someoe,2,2026-05-01 02:59:42,cs nya bot atau apa ditanya apa jawab apa
puguh surya,3,2026-05-01 02:57:06,"proses STNK nya cepat, tapi pihak xpedisi nya sangat lama... padahl uda lewat Xpress tapi ttp aza lama, alasan nya alamat tidak diketemukan, kok kurir pos kalah dngan kurir pakt spx, jnt, JNE dll... usul buat signal tambahkan beberpa xpedisi.. lewat posi lamaaaaaa"
Agung Suprapto,5,2026-05-01 02:50:40,"praktis,"
Riansyah Putra,5,2026-05-01 02:45:07,efektif utk yang waktunya tidak bisa membayar langsung ke Samsat TPI menunggu dengan waktu lama itu yg perlu kesabaran
Deni Setiawan,1,2026-05-01 02:42:44,"aplikasi eror tidak bisa pilih kurir pengiriman sudah beberapa minggu tidak ada perbaikan,."
Diman Hermawan,5,2026-05-01 02:42:39,"bagus, tingkatkan terus..... kurleb proses 3 hari kerja dokumen diterima"
Boboy Super,4,2026-05-01 01:43:18,belum bisa bisa
Agiesty Janeca,5,2026-05-01 01:20:38,"pelayanan Samsat nya cepat,pengiriman nya jg cepet bgt.. trimakasih pos n Samsat..mempermudah untuk urusan perpajakan..masukan aja sih coba ada opsi buat kendaraan second hand..biar orng yg punya kendaraan bekas bisa mudah jg untuk bayar pajak,untuk dokumen nya pke BPKB n STNK asli fto nya..akn lbih bnyk yg taat pajak kndaraan nya..trimakasih"
Muhamad Yusuf Firdaus,5,2026-05-01 00:40:39,"Alhamdulillah sekarang bayar pajak bisa dimana saja dan kapan saja, tanpa harus datang ke samsat untuk mengantri, SIGNAL mantaaps bingiittss"
Gembus Soax,3,2026-04-30 23:16:40,"maaf ya min saya kasih bintang 3 karna prosesnya teramat lama saya bayar di januari awal, dokumen baru di terima akhir april mohon di perbaiki pelayanannya trimakasih"
Shalihuddin Dafi,5,2026-04-30 16:24:23,"Oke, sukses akhirnya untuk pertama kali.."
Endang Rahman,5,2026-04-30 14:39:06,mantap semoga bisa untuk bayar pajak 5 tahunan
wiro kechill 646,5,2026-04-30 14:06:40,sangat membantu 🙏
AGUS SUKARIONO (M4546US),2,2026-04-30 14:00:34,"Aplikasi ini sebetulnya sangat bagus, tetapi aplikasi inilah TIDAK BERLAKU untuk kendaraan yang BUKAN ATAS NAMA Kita sendiri. Jadiii... klo kendaraan itu bukan atas nama kita maka TIDAK BISA diproses pembayaran PKB nya."
Siti Munawaroh,5,2026-04-30 12:44:14,sangat membantu dan lebih efisien waktu. prosesnya juga cepat.
Fitri Nurngaeni,5,2026-04-30 12:25:37,mempermudah
Jajat Sudrajat,5,2026-04-30 11:03:23,proses mudah dan cepat mantap
Nadhifa Af,5,2026-04-30 10:54:42,memudahkan
Kg Rohman,1,2026-04-30 10:32:43,"aku perpanjang stnk tahunan tgl 19 april, sampe tgl 28 tulisannya masih diproses, tgl 29 baru diserahkan ke jasa antar, tgl 30 baru sampai dirumah, chat CS gk da respon, hasil cetakannya pun gk jelas, aneh asli, baru kali ini liat hasil komputer tulisannya tumpuk2 jadi 1, mana bisa dibaca 👎👎👎"
Hilmy Fauzan,5,2026-04-30 10:17:37,"sangat membantu.. udah 4x transaksi di apk Signal ini dri stnk mobil bokap, mobil saya, motor saya semuanya berjalan dengan baik. tetap pertahankan ya"
Masarikusnadi 123,5,2026-04-30 08:55:08,Sangat puas atas layanan nya terimakasih
wandrie berutu,2,2026-04-30 08:53:49,kenapa ya semua aplikasi pemerintah kebanyakan ampas. 👎
Tono Boyor,5,2026-04-30 08:34:00,"pengalaman bayar online yg kedua, simpel dah mudah"
ADEALVIANTO WIBISONO,5,2026-04-30 08:30:37,"aplikasi sangat mudah digunakan, tanpa kita harus mengantri di gedung samsat . masukan aja harus di info ke rt dan rw supaya banyak yang menggunakan aplikasi ini agar mempermudah membayar pajak. karena kita yang tidak tahu aplikasi ini mikirnya membayanr pajak di samsat itu buang waktu dan tenaga"
Erlangga Ario Tejo,5,2026-04-30 08:12:22,Aplikasi Mudah diakses dan digunakan
Mhd Zaki,5,2026-04-30 07:55:33,sangat berguna
Ririn Oktaviani,5,2026-04-30 07:52:16,"masyaallah mudahin masyarakat banget apalagi kaum ibu ibu yang gabisa ninggal anak, proses mudah banget&cepat, bayar STNK kaya beli paket , dianter pos langsung sampe depan rumah makasih banyak 🙏"
archive mfg,1,2026-04-30 07:41:05,"ga jelas mau cek pajak juga susah amat, segala gangguan ini itu udh berpa kali dicoba masih aja kek gtu"
kunaefi tea,5,2026-04-30 07:40:46,Mantap
Adi Den Kecill,1,2026-04-30 06:31:27,"yang bener aja bayar stnk dari tanggal 1 sampe sekarang masih diproses terus, komplain cs nggak ada jawaban, ini gimana solusinya daah?"
Annarita Buaton,3,2026-04-30 05:39:38,"proses pembayaran itu cepat dari aplikasi signal, tapi giliran pengiriman dari Samsat setelah pembayaran, bikin geleng² kepala. lamaaa sekali. katanya seminggu, ditunggu seminggu, ngga datang juga. 2 Minggu juga ngga datang. selalu informasinya sedang di proses. sudah hubungi pihak Cs Samsat sampai follow up ke pihak jasa kirim (kirain bermasalah di pihak sana, ternyata tidak) bilangnya cuma sabar dan tunggu. hampir 3 Minggu, dokumen baru bisa sampai ke rumah."
hary sianipar,5,2026-04-30 05:36:11,sat set .. cepat ringkas...
Juliansyah Marasabessy,5,2026-04-30 05:15:29,sangat bagus
HA Hayyin24,1,2026-04-30 04:53:36,aplikasi nya lola banget terus udh ngajuin 5 hari masih dalam proses ga jadi jadi padahal udh bayar dan motornya ga bisa pergi jauh Krn ga ada STNK nya ampun dah gimana ini
olivia olivee,5,2026-04-30 04:04:33,Praktis utk kalian yang kerja tidak ada libur di tgl hitam dan tidak ribet cukup klik bayar dan tunggu sampai pos Indonesia mengantarkan STNK terbaru. Trimakasih samsat🙏
Forklip u4,5,2026-04-30 03:35:05,"mantab,,, bayar pajak tanpa ribet dan anti calo terimakasih untuk E-SIGNAL"
Kanto Suwito,5,2026-04-30 02:50:24,aplikasi yang sangat membantu
Firdy,1,2026-04-30 02:20:17,sangatt buruk.. sudh bayar dr tgl 23 april.sampe tgl 30 belum jg di kirim..padahal pilih kurir palingan mahal biar cepet..jd harus urus ke samsat cinere..audah ke samsat katanya dinkantor pos nya dah dcetak..dsuruh tunggu entah sampe kapan..
ritameliaa,1,2026-04-30 01:51:01,"Udah daftar bener, semuanya udah terdata dengan baik eh malah pas mau cek pajak kendaraan sebelum Hari H malah gabisa. Gimana sih???? Hrusnya gabisa gitu dong. Semua biaya hrusnya sudah ditetapkan dari awal. Ini kayak seolah kayak engga. Gak bener nih"
Marsudi,5,2026-04-30 01:33:58,Aplikasi berjalan dengan baik.
Ahmet Mevlana silistrevi,1,2026-04-30 00:41:27,"cek-cek... lg knpyah udh sering coba cek pajak, sllu tidak bisa terus..?"
nyong thias,5,2026-04-30 00:07:50,lebih mudah membayar pajak kendaraan tdkperlu antri & bisa di lakukan sambil santai sangat membantu sekali 👍👍
Enam Dua,1,2026-04-30 00:03:40,tak bisa dipakai. hambur hanbur uang negara saja ini bikim aplikasi
maulud,5,2026-04-29 23:30:31,Pengiriman cepat
Gp Endry,5,2026-04-29 22:57:29,"sat set signal.. bayar, 3 hari di kirim k rumah... pertahankan"
Nur Ari Purnomo,5,2026-04-29 20:43:58,mudah dan cepat
Alvin Prasetyo,5,2026-04-29 17:34:11,sangat membatu
Sutrisno MPd,5,2026-04-29 16:44:40,Sansat mantab 👍🏻
mardiansyah,5,2026-04-29 16:34:17,pengiriman lama saya transaksi dri blan januari bru trima dokumen blan april
Jojo Jojo,5,2026-04-29 15:34:41,aplikasi yg sangat membantu
Ardi Pratama,1,2026-04-29 14:43:13,aplikasi apa ini verivikasi email ga bisa Uda di coba berkali kali
Siti Nurmilati,4,2026-04-29 14:34:13,"jumlah pajak yg dibayar, sama dengan tahun lalu, ongkir lebih mahal dr tahun lalu, tahun lalu 17.5k tahun ini 29.5k"
Wirman,5,2026-04-29 13:12:33,simpel
Sopian Tolay,1,2026-04-29 12:58:54,"kalo ga niat bikin aplikasi, mending ga usah bikin.. mengecewakan"
Fajar Gustiar,1,2026-04-29 12:46:08,loading mulu
Yan Kurnia Hadi,5,2026-04-29 12:37:11,"mantap sih lancar dari segi UI dan UX nya sejauh ini lancar, dan dokumen aman sampai dirumah. terima kasih"
Syamun Ghozy,5,2026-04-29 11:53:57,"sip pokok nya, terimksh"
Aditya Zaidan,5,2026-04-29 11:53:02,"lebih nyaman dalam melakukan pembayaran pajak,tanpa antri"
Annisa Maharani,5,2026-04-29 11:39:58,semoga selalu amanah dlm menjalankan tugas negara
arfinza naufal,5,2026-04-29 11:18:00,apakah bisa untuk daerah sumatera Utara khususnya Medan
Gerry _M,1,2026-04-29 10:29:59,"mau bayar pajak ada indikasi, ""layanan tidak tersedia beberapa saat lagi atau chat Cs"" udah di chat berkali² tidak ada respon sama sekali masyarakat mau bayar pajak aja di persulit, kemarin pun sudah masuk di menu pembayaran udah salin kode pembayaran pas mau pembayaran juga transaksi gagal terus""improve donggg"""
Fitrah Rachman,3,2026-04-29 10:14:46,sumut gak bisa ya???
Andri bontenk,5,2026-04-29 10:07:55,stnk sudah di terima.. mudah ga ribet
Dadang Supriatna,5,2026-04-29 09:40:30,"mantaapp keren gak harus banyak yang di kumpulin dokumen langsung tertera semua data kita disini dengan nik no.pol no.rangka satset2 pembayaran proses simpel , Senin siang proses Rabu siang langsung sampai kurir dari pos yang antar , mantap pokoknya nih aplikasi mempermudah bayar pajak gak dibikin ribet 👍👍👍👍👍"
Enah enah,4,2026-04-29 09:39:14,nunggunya lama hampir 2 minggu
Silvester Bambang Priambodo,5,2026-04-29 09:27:26,sangat bagus aplikasi nya. bisa bayar pajak motor online dan dokumen langsung dikirimkan. the best.
Junaedi Iskandar,5,2026-04-29 08:59:16,sangat membantu dan bermanfaat
yanuar pp,4,2026-04-29 07:48:57,mau bayar ke atm error host biller...bayar via m-banking gagal juga...gmn ini min ?
Dicky Subagja,5,2026-04-29 07:42:03,aplikasi sangat membantu terbaik signal
Dodie Brekendenz,1,2026-04-29 06:47:25,"aplikasi belum maksimal, data yang di beri maksimal tapi tidak valid katanya, mohon pembenahan nya"
Cindy Aprilya,1,2026-04-29 06:44:15,"aplikasi tidak terlalu support, padahal data yang diminta valid semua. untuk apa di download kalau tidak berfungsi. ampun deh , semoga lebih berbenah."
Budy Sucy,5,2026-04-29 06:37:47,"bagus ,sangat membantu ,proses cpat smoga lebih baik lgi,trims"
Sriyati Hakim,5,2026-04-29 06:16:38,pelayanan online ok
Rizki Rizki,5,2026-04-29 05:50:24,bagus proses cepat
Wiwin Widiastuty,5,2026-04-29 05:33:19,"Alhamdulillah aplikasi ini memudahkan kita yg pekerja pabrik buat bayar pajak. gak perlu repot-repot pergi ke Samsat, walaupun tunggu dokumen nya lumayan lama tp membantu"
dany ahmad9999,4,2026-04-29 04:51:23,"agak lama proses nya via apk signal dri bulan 1 tgl 4 ,baru di trima bulan 4 tgl 28 via pos berbeda sama pembayaran langsung di samsat bisa langsung dpt stnk"
IHSAN,1,2026-04-29 04:10:01,aplikasi tolol mau bayar pajak error udh sbln kaya gini emang diaceh ga bisa lagi bayar melalui online?
antonius suma,5,2026-04-29 03:47:33,oke
Prasetia Saputra,3,2026-04-29 02:56:49,"Halo admin, kenapa proses verifikasi gagal terus?"
bismo nakal,2,2026-04-29 02:40:19,gak bisa verifikasi email
Fajri Andriansyah,2,2026-04-29 02:18:01,Verifikasi wajah gagal terus ampun
Awal Aja,1,2026-04-29 02:11:34,dari pencetakan sampai pengiriman lama SEKALI
Edi Sunarto,5,2026-04-29 01:52:54,mudah dan simpel untuk bayar pajak tahunan tanpa antrian
Roni Setyo,1,2026-04-29 01:30:59,verifikasi email gak di kirim-kirim
David Kurniawan,1,2026-04-29 01:23:50,"ga bisa daftar.kirim.kode otp lewat SMS selalu delay.begitu dapat otp dimasukan selalu ada notif otp kadaluwarsa,padahal timer nya masih ada beberapa detik.diulang sampai beberapa selalu bgtu"
Fauzan Rosnanda,5,2026-04-29 01:21:28,proses cepat secepat popmie
Noval Rieswardana,1,2026-04-28 23:54:27,aktivasi akun selalu gagal tidak bisa
Hoki Kun,1,2026-04-28 22:55:05,"bayar pajak pakai app ini dari 24 april tp stnk belum dikirim"" .. KERJA GA SIH !!!! MENDING KALIAN KLO BUTUH STNK FISIK JANGAN PAKAI APLIKASI INI !!! PELAYANANNYA TIDAK MEMUASKAN !!"
Rukmana Rinjani Yayan,5,2026-04-28 22:48:10,"bagus bangeet top markotop,,,tolong di usahakan jg untuk bayar pajak 5 THN bisa dilakukan SPT ini,,,,,,mudah praktis gak ribet,,,,,,bravo signal🦾🦾🦾👍👍👍"
Syarif Hidayat,5,2026-04-28 22:11:42,sangat membantu..trmksh byk...
Raden Gopar,5,2026-04-28 18:43:11,keren...
